Pitcher,AutoPitchType,PitchCall,SpinRate
"Taylor, Evan",Slider,StrikeCalled,2791.202989
"Taylor, Evan",Slider,StrikeCalled,2703.636478
"Taylor, Evan",Slider,BallCalled,2875.033023
"Taylor, Evan",Slider,StrikeCalled,2658.681831
"Taylor, Evan",Sinker,BallCalled,2427.047697
"Taylor, Evan",Sinker,StrikeCalled,2549.397293
"Taylor, Evan",Slider,StrikeSwinging,2852.237646
"Taylor, Evan",Sinker,BallCalled,2518.835673
"Taylor, Evan",Sinker,StrikeCalled,2543.333154
"Taylor, Evan",Slider,StrikeSwinging,2980.917837
"Taylor, Evan",Slider,InPlay,1652.571673
"Taylor, Evan",Sinker,StrikeCalled,2309.78373
"Taylor, Evan",Slider,InPlay,2792.058845
"Menefee, Joseph",Curveball,StrikeCalled,2663.932277
"Menefee, Joseph",Changeup,BallCalled,2741.651722
"Menefee, Joseph",Four-Seam,InPlay,2199.229362
"Menefee, Joseph",Cutter,StrikeCalled,2234.02921
"Menefee, Joseph",Cutter,BallCalled,2355.137507
"Menefee, Joseph",Four-Seam,BallCalled,2206.145014
"Menefee, Joseph",Changeup,BallCalled,2667.78516
"Menefee, Joseph",Changeup,StrikeCalled,2773.941097
"Menefee, Joseph",Changeup,StrikeSwinging,2770.550044
"Menefee, Joseph",Cutter,BallCalled,2292.09465
"Menefee, Joseph",Cutter,BallCalled,2200.790863
"Menefee, Joseph",Cutter,BallCalled,2331.471682
"Menefee, Joseph",Cutter,StrikeCalled,2171.59855
"Menefee, Joseph",Four-Seam,BallCalled,2231.351482
"Tucker, Wyatt",Slider,BallCalled,2582.423506
"Tucker, Wyatt",Sinker,FoulBall,1987.740017
"Tucker, Wyatt",Slider,BallCalled,2568.113938
"Tucker, Wyatt",Four-Seam,StrikeCalled,2211.313766
"Tucker, Wyatt",Slider,InPlay,2598.478222
"Tucker, Wyatt",Sinker,BallCalled,2172.09326
"Tucker, Wyatt",Changeup,StrikeSwinging,1753.458301
"Tucker, Wyatt",Changeup,BallCalled,1715.843982
"Tucker, Wyatt",Sinker,FoulBall,1942.742744
"Tucker, Wyatt",Changeup,BallCalled,1585.312855
"Tucker, Wyatt",Changeup,BallCalled,1550.827403
"Tucker, Wyatt",Slider,BallCalled,2623.523258
"Tucker, Wyatt",Slider,FoulBall,2671.529437
"Tucker, Wyatt",Slider,StrikeSwinging,2428.794082
"Tucker, Wyatt",Four-Seam,FoulBall,2095.622896
"Tucker, Wyatt",Slider,StrikeSwinging,2706.717054
"Tygart, Brady",Four-Seam,BallCalled,2488.981494
"Tygart, Brady",Four-Seam,StrikeCalled,2489.740411
"Tygart, Brady",Curveball,StrikeCalled,3107.04835
"Tygart, Brady",Curveball,StrikeCalled,3229.426046
"Tygart, Brady",Curveball,StrikeCalled,3137.761187
"Tygart, Brady",Four-Seam,BallCalled,2613.678146
"Tygart, Brady",Slider,InPlay,3226.454964
"Tygart, Brady",Four-Seam,BallCalled,2510.136769
"Tygart, Brady",Curveball,StrikeCalled,3008.900357
"Tygart, Brady",Curveball,StrikeSwinging,3107.105866
"Tygart, Brady",Curveball,InPlay,3197.883868
"Tygart, Brady",Curveball,InPlay,3105.093019
